address,city,district,districtid,districtncesid,enrollment,fax,graderange,gsid,gsrating,lat,lon,name,ncesid,overviewlink,phone,ratingslink,reviewslink,schoolstatslink,state,type,website
"1636 East Mission Road, 
Fallbrook, CA  92028",Fallbrook,Warner Unified,715,0600042,130,,K-4,31960,,33.388603,-117.22943,Willow Tree,,https://www.greatschools.org/california/fallbrook/31960-Willow-Tree/?s_cid=gsapi,(442) 232-2900,https://www.greatschools.org/school/rating.page?state=CA&id=31960&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31960&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31960,CA,charter,www.willowtreelearning.org
"200 Pate Road, 
San Clemente, CA  92672",San Clemente,Fallbrook Union Elementary School District,686,0613500,643,(760) 430-1077,K-8,5919,9,33.390434,-117.57874,San Onofre Elementary School,061350001544,https://www.greatschools.org/california/san-clemente/5919-San-Onofre-Elementary-School/?s_cid=gsapi,(760) 731-4360,https://www.greatschools.org/school/rating.page?state=CA&id=5919&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5919&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5919,CA,public,http://www.fuesd.k12.ca.us/Domain/340
"190 Avenida La Pata, 
San Clemente, CA  92673",San Clemente,,,,57,,K-12,16266,,33.453796,-117.592995,Heritage Christian - San Clemente,,https://www.greatschools.org/california/san-clemente/16266-Heritage-Christian---San-Clemente/?s_cid=gsapi,(949) 361-1022,https://www.greatschools.org/school/rating.page?state=CA&id=16266&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=16266&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/16266,CA,private,
"700 Avenido Pico, 
San Clemente, CA  92673",San Clemente,Capistrano Unified School District,467,0607440,3036,(949) 361-5175,9-12,3666,9,33.43982,-117.61752,San Clemente High School,060744000701,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?s_cid=gsapi,(949) 492-4165,https://www.greatschools.org/school/rating.page?state=CA&id=3666&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3666&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3666,CA,public,www.sctritons.com/
"1271 Sarmentoso, 
San Clemente, CA  92673",San Clemente,Capistrano Unified School District,467,0607440,896,(949) 366-1519,6-8,3639,7,33.47,-117.62192,Bernice Ayer Middle School,060744007587,https://www.greatschools.org/california/san-clemente/3639-Bernice-Ayer-Middle-School/?s_cid=gsapi,(949) 366-9607,https://www.greatschools.org/school/rating.page?state=CA&id=3639&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3639&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3639,CA,public,
"1251 Sarmentoso, 
San Clemente, CA  92673",San Clemente,Capistrano Unified School District,467,0607440,677,(949) 361-8462,K-5,3642,8,33.467278,-117.62639,Truman Benedict Elementary School,060744009119,https://www.greatschools.org/california/san-clemente/3642-Truman-Benedict-Elementary-School/?s_cid=gsapi,(949) 498-6617,https://www.greatschools.org/school/rating.page?state=CA&id=3642&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3642&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3642,CA,public,
"3120 Avenida Del Presidente, 
San Clemente, CA  92672",San Clemente,Capistrano Unified School District,467,0607440,663,(949) 361-8652,K-5,3646,7,33.401215,-117.59842,Concordia Elementary School,060744000687,https://www.greatschools.org/california/san-clemente/3646-Concordia-Elementary-School/?s_cid=gsapi,(949) 492-3060,https://www.greatschools.org/school/rating.page?state=CA&id=3646&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3646&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3646,CA,public,http://cces.capousd.ca.schoolloop.com/
"1101 Calle Puente, 
San Clemente, CA  92672",San Clemente,Capistrano Unified School District,467,0607440,820,(949) 369-1427,K-5,3657,5,33.428555,-117.62441,Las Palmas Elementary School,060744000693,https://www.greatschools.org/california/san-clemente/3657-Las-Palmas-Elementary-School/?s_cid=gsapi,(949) 234-5333,https://www.greatschools.org/school/rating.page?state=CA&id=3657&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3657&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3657,CA,public,http://lpes.capousd.ca.schoolloop.com/
"200 Avenida Vista Montana, 
San Clemente, CA  92672",San Clemente,Capistrano Unified School District,467,0607440,417,(949) 366-0764,K-5,3658,5,33.437435,-117.59537,Clarence Lobo Elementary School,060744003373,https://www.greatschools.org/california/san-clemente/3658-Clarence-Lobo-Elementary-School/?s_cid=gsapi,(949) 366-6740,https://www.greatschools.org/school/rating.page?state=CA&id=3658&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3658&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3658,CA,public,www.lo
"240 Via Socorro, 
San Clemente, CA  92672",San Clemente,Capistrano Unified School District,467,0607440,1021,(949) 498-0826,6-8,3669,6,33.44288,-117.63631,Shorecliffs Middle School,060744000704,https://www.greatschools.org/california/san-clemente/3669-Shorecliffs-Middle-School/?s_cid=gsapi,(949) 498-1660,https://www.greatschools.org/school/rating.page?state=CA&id=3669&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3669&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3669,CA,public,https://shorecliffs.schoolloop.com/
"105 La Esperanza, 
San Clemente, CA  92672",San Clemente,,,,210,,PK-8,8261,,33.42972,-117.60883,Our Lady of Fatima Parish School,00075371,https://www.greatschools.org/california/san-clemente/8261-Our-Lady-Of-Fatima-Parish-School/?s_cid=gsapi,(949) 492-7320,https://www.greatschools.org/school/rating.page?state=CA&id=8261&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=8261&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/8261,CA,private,http://www.olfschool.net
"200 Avenida San Pablo, 
San Clemente, CA  92672",San Clemente,,,,220,(949) 492-6132,PK-5,9395,,33.415302,-117.59793,Our Savior's Lutheran Elementary School,02010323,https://www.greatschools.org/california/san-clemente/9395-Our-Savior's-Lutheran-Elementary-School/?s_cid=gsapi,(949) 492-6165,https://www.greatschools.org/school/rating.page?state=CA&id=9395&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=9395&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/9395,CA,private,http://oursaviorsschool.net
"107 West Marquita, 
San Clemente, CA  92672",San Clemente,,,,47,,K-8,9960,,33.429066,-117.61758,St. Michael's Christian Academy,A9300085,https://www.greatschools.org/california/san-clemente/9960-St.-Michael's-Christian-Academy/?s_cid=gsapi,(949) 366-9468,https://www.greatschools.org/school/rating.page?state=CA&id=9960&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=9960&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/9960,CA,private,
"2410 Via Turqueza, 
San Clemente, CA  92673",San Clemente,Capistrano Unified School District,467,0607440,370,(949) 361-0712,K-5,11990,6,33.45153,-117.62092,Marblehead Elementary School,060744008752,https://www.greatschools.org/california/san-clemente/11990-Marblehead-Elementary-School/?s_cid=gsapi,(949) 234-5339,https://www.greatschools.org/school/rating.page?state=CA&id=11990&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11990&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11990,CA,public,www.capousd.org/mhes
"620 Camino De Los Mares, 
San Clemente, CA  92673",San Clemente,,,,19,,K-12,16256,,33.459114,-117.65302,Creekside Christian,,https://www.greatschools.org/california/san-clemente/16256-Creekside-Christian/?s_cid=gsapi,(949) 481-1989,https://www.greatschools.org/school/rating.page?state=CA&id=16256&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=16256&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/16256,CA,private,
"204 West Avenida De Los Lobos Marinos, 
San Clemente, CA  92672",San Clemente,,,,19,,1-12,16310,,33.414246,-117.608765,Talega Preparatory Academy,A0500710,https://www.greatschools.org/california/san-clemente/16310-Talega-Preparatory-Academy/?s_cid=gsapi,(949) 275-0767,https://www.greatschools.org/school/rating.page?state=CA&id=16310&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=16310&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/16310,CA,private,http://www.talegaprep.com
"27002 Camino De Estrella, 
San Clemente, CA  92624",San Clemente,,,,12,,K,31404,,33.455265,-117.65812,Palisades United Methodist Preschool Kindergarten,,https://www.greatschools.org/california/san-clemente/31404-Palisades-United-Methodist-Preschool-Kindergarten/?s_cid=gsapi,(949) 661-3375,https://www.greatschools.org/school/rating.page?state=CA&id=31404&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31404&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/31404,CA,private,
"14535 Old River Road, 
Bakersfield, CA  93311",Bakersfield,Lakeside Union,218,0620730,562,(661) 831-7709,K-8,1292,5,35.222504,-119.11002,Lakeside,062073002489,https://www.greatschools.org/california/bakersfield/1292-Lakeside/?s_cid=gsapi,(661) 831-3503,https://www.greatschools.org/school/rating.page?state=CA&id=1292&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=1292&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/1292,CA,public,www.lakesideusd.org/lakeside
"12303 Ridgecrest Road, 
Victorville, CA  92395",Victorville,,,,10,,K,15243,,34.474583,-117.276665,Lakeside Academy,A0300354,https://www.greatschools.org/california/victorville/15243-Lakeside-Academy/?s_cid=gsapi,(760) 245-8680,https://www.greatschools.org/school/rating.page?state=CA&id=15243&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=15243&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/15243,CA,private,http://lakesideacademy.com/
"11915 Lakeside Avenue, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,666,(619) 390-2648,K-5,5941,8,32.8661,-116.93598,Lakeside Farms Elementary School,062079002493,https://www.greatschools.org/california/lakeside/5941-Lakeside-Farms-Elementary-School/?s_cid=gsapi,(619) 390-2646,https://www.greatschools.org/school/rating.page?state=CA&id=5941&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5941&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5941,CA,public,www.lsusd.net
"11833 Woodside Avenue, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,816,(619) 390-2643,6-8,5942,6,32.85431,-116.93789,Lakeside Middle School,062079002494,https://www.greatschools.org/california/lakeside/5942-Lakeside-Middle-School/?s_cid=gsapi,(619) 390-2636,https://www.greatschools.org/school/rating.page?state=CA&id=5942&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5942&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5942,CA,public,www.lsusd.net
"9100 Jersey Avenue, 
Hanford, CA  93230",Hanford,Lakeside Union Elementary,193,0620760,318,,K-8,1171,3,36.240486,-119.62563,Lakeside Elementary School,062076002491,https://www.greatschools.org/california/hanford/1171-Lakeside-Elementary-School/?s_cid=gsapi,(559) 582-2868,https://www.greatschools.org/school/rating.page?state=CA&id=1171&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=1171&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/1171,CA,public,www.lakeside.k12.ca.us
"19621 Black Road, 
Los Gatos, CA  95033",Los Gatos,Lakeside Joint,638,0620700,93,(408) 354-8819,K-5,5522,9,37.19319,-122.01824,Lakeside Elementary School,062070002488,https://www.greatschools.org/california/los-gatos/5522-Lakeside-Elementary-School/?s_cid=gsapi,(408) 354-2372,https://www.greatschools.org/school/rating.page?state=CA&id=5522&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5522&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5522,CA,public,http://www.lakesidesd.k12.ca.us
"11000 East Kenney Street, 
Norwalk, CA  90650",Norwalk,Little Lake City Elementary,290,0621930,655,(562) 863-9252,6-8,2528,7,33.92798,-118.09917,Lakeside Middle School,062193002604,https://www.greatschools.org/california/norwalk/2528-Lakeside-Middle-School/?s_cid=gsapi,(562) 868-9442,https://www.greatschools.org/school/rating.page?state=CA&id=2528&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=2528&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/2528,CA,public,www.littlelake.k12.ca.us
"3 Lemongrass, 
Irvine, CA  92604",Irvine,Irvine Unified School District,477,0684500,650,(949) 936-6109,7-8,3822,10,33.684303,-117.79465,Lakeside Middle School,068450007060,https://www.greatschools.org/california/irvine/3822-Lakeside-Middle-School/?s_cid=gsapi,(949) 559-1601,https://www.greatschools.org/school/rating.page?state=CA&id=3822&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=3822&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/3822,CA,public,www.iusd.org/la
"27720 Walnut Street, 
Perris, CA  92571",Perris,Val Verde Unified,536,0691135,1220,(951) 443-2445,7-8,12512,3,33.826736,-117.17649,Lakeside Middle School,069113511243,https://www.greatschools.org/california/perris/12512-Lakeside-Middle-School/?s_cid=gsapi,(951) 443-2440,https://www.greatschools.org/school/rating.page?state=CA&id=12512&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12512&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12512,CA,public,www.valverde.edu
"32593 Riverside Drive, 
Lake Elsinore, CA  92530",Lake Elsinore,Lake Elsinore Unified School District,523,0600027,1973,(951) 253-7335,9-12,13967,6,33.668518,-117.38108,Lakeside High School,060002711036,https://www.greatschools.org/california/lake-elsinore/13967-Lakeside-High-School/?s_cid=gsapi,(951) 253-7300,https://www.greatschools.org/school/rating.page?state=CA&id=13967&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=13967&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/13967,CA,public,http://www.leusd.k12.ca.us
"9205 Lakeview Road, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,706,(619) 390-2693,K-5,5943,7,32.844086,-116.90338,Lakeview Elementary School,062079002495,https://www.greatschools.org/california/lakeside/5943-Lakeview-Elementary-School/?s_cid=gsapi,(619) 390-2652,https://www.greatschools.org/school/rating.page?state=CA&id=5943&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5943&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5943,CA,public,www.lsusd.net
"12463 Lemon Crest Drive, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,589,(619) 390-2563,K-5,5944,4,32.852333,-116.92115,Lemon Crest Elementary School,062079010310,https://www.greatschools.org/california/lakeside/5944-Lemon-Crest-Elementary-School/?s_cid=gsapi,(619) 390-2527,https://www.greatschools.org/school/rating.page?state=CA&id=5944&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5944&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5944,CA,public,www.lsusd.net
"12824 Lakeshore Drive, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,566,(619) 390-2551,K-5,5945,4,32.859905,-116.91384,Lindo Park Elementary School,062079002496,https://www.greatschools.org/california/lakeside/5945-Lindo-Park-Elementary-School/?s_cid=gsapi,(619) 390-2656,https://www.greatschools.org/school/rating.page?state=CA&id=5945&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5945&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5945,CA,public,www.lsusd.net
"9308 Winter Gardens Boulevard, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,577,(619) 390-2668,1-5,5946,9,32.84644,-116.93239,Riverview Elementary School,062079002497,https://www.greatschools.org/california/lakeside/5946-Riverview-Elementary-School/?s_cid=gsapi,(619) 390-2662,https://www.greatschools.org/school/rating.page?state=CA&id=5946&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5946&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5946,CA,public,www.lsusd.net
"9611 Petite Lane, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,595,(619) 390-2518,6-8,5947,5,32.854477,-116.91167,Tierra Del Sol Middle School,062079002498,https://www.greatschools.org/california/lakeside/5947-Tierra-Del-Sol-Middle-School/?s_cid=gsapi,(619) 390-2670,https://www.greatschools.org/school/rating.page?state=CA&id=5947&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5947&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5947,CA,public,www.lsusd.net
"8501 Pueblo Road, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,368,(619) 390-2695,K-1,5948,,32.83146,-116.93047,Winter Gardens Elementary School,062079002499,https://www.greatschools.org/california/lakeside/5948-Winter-Gardens-Elementary-School/?s_cid=gsapi,(619) 390-2687,https://www.greatschools.org/school/rating.page?state=CA&id=5948&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5948&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5948,CA,public,www.lsusd.net
"11838 Valle Vista Road, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,,(619) 390-2575,6-12,12366,,32.891705,-116.946594,East County Academy Of Learning,062079011230,https://www.greatschools.org/california/lakeside/12366-East-County-Academy-Of-Learning/?s_cid=gsapi,(619) 390-2634,https://www.greatschools.org/school/rating.page?state=CA&id=12366&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12366&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12366,CA,public,http://www.lsschools.k12.ca.us/lakeside
"9707 1/2 Marilla Drive, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,274,(619) 390-2581,7-12,11105,9,32.853138,-116.94069,River Valley Charter School,062079007308,https://www.greatschools.org/california/lakeside/11105-River-Valley-Charter-School/?s_cid=gsapi,(619) 390-2579,https://www.greatschools.org/school/rating.page?state=CA&id=11105&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11105&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11105,CA,charter,www.rivervalleyhigh.org
"1095 Barona Road, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,105,(619) 443-7280,K-8,12215,,32.933064,-116.87723,Barona Indian Charter School,062079010631,https://www.greatschools.org/california/lakeside/12215-Barona-Indian-Charter-School/?s_cid=gsapi,(619) 443-0948,https://www.greatschools.org/school/rating.page?state=CA&id=12215&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12215&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12215,CA,charter,http://www.baronaindiancharterschool.com/
"9308 Winter Gardens Boulevard, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,,(619) 390-2668,K-8,25319,,32.84645,-116.9311,Mandarin Language Academy,062079012442,https://www.greatschools.org/california/lakeside/25319-Mandarin-Language-Academy/?s_cid=gsapi,(619) 390-2662,https://www.greatschools.org/school/rating.page?state=CA&id=25319&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25319&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/25319,CA,charter,http://www.lsusd.net
"10410 Ashwood Street, 
Lakeside, CA  92040",Lakeside,Grossmont Union High School District,688,0616230,1649,(619) 390-8503,9-12,5924,5,32.868095,-116.91666,El Capitan High School,061623002019,https://www.greatschools.org/california/lakeside/5924-El-Capitan-High-School/?s_cid=gsapi,(619) 938-9100,https://www.greatschools.org/school/rating.page?state=CA&id=5924&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5924&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5924,CA,public,http://elcapitan.guhsd.net/
"9825 Pino Drive, 
Lakeside, CA  92040",Lakeside,,,,170,,PK-8,8383,,32.859184,-116.908745,Our Lady Of Perpetual Help School,00077073,https://www.greatschools.org/california/lakeside/8383-Our-Lady-Of-Perpetual-Help-School/?s_cid=gsapi,(619) 443-1440,https://www.greatschools.org/school/rating.page?state=CA&id=8383&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=8383&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/8383,CA,private,http://www.olphcatholicschool.com
"11646 Riverside Drive, 
Lakeside, CA  92040",Lakeside,,,,,,PK-6,26749,,32.863117,-116.94165,Learning Academy,A0900387,https://www.greatschools.org/california/lakeside/26749-Learning-Academy/?s_cid=gsapi,(619) 938-0933,https://www.greatschools.org/school/rating.page?state=CA&id=26749&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=26749&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/26749,CA,private,
"10404 Lake Jennings Park Road, 
Lakeside, CA  92040",Lakeside,,,,189,,K-6,10551,,32.862553,-116.90576,Foothills Christian School,A9700702,https://www.greatschools.org/california/lakeside/10551-Foothills-Christian-School/?s_cid=gsapi,(619) 561-2295,https://www.greatschools.org/school/rating.page?state=CA&id=10551&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=10551&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/10551,CA,private,
"11646 Riverside Drive, 
Lakeside, CA  92040",Lakeside,,,,11,,K-7,13357,,32.863117,-116.94165,"Learning Academy, The",K9300461,"https://www.greatschools.org/california/lakeside/13357-Learning-Academy,-The/?s_cid=gsapi",(619) 938-0933,https://www.greatschools.org/school/rating.page?state=CA&id=13357&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=13357&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/13357,CA,private,
"7315 Harris Road, 
Bakersfield, CA  93313",Bakersfield,Lakeside Union,218,0620730,712,(661) 665-8282,K-5,1293,5,35.30494,-119.08369,Donald E. Suburu School,062073007505,https://www.greatschools.org/california/bakersfield/1293-Donald-E.-Suburu-School/?s_cid=gsapi,(661) 665-8190,https://www.greatschools.org/school/rating.page?state=CA&id=1293&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=1293&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/1293,CA,public,www.lakesideusd.org/suburu
"2030 University Drive, 
Vista, CA  92083",Vista,Lakeside Union Elementary School District,692,0620790,762,(760) 631-6201,K-12,24812,,32.856747,-116.92582,National University Academy,062079012287,https://www.greatschools.org/california/vista/24812-National-University-Academy/?s_cid=gsapi,(760) 631-5842,https://www.greatschools.org/school/rating.page?state=CA&id=24812&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=24812&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/24812,CA,charter,www.nu.edu
"1451 Jackson Street, 
San Francisco, CA  94109",San Francisco,San Francisco Unified School District,717,0634410,337,(415) 749-3555,K-5,6434,5,37.794434,-122.419,Spring Valley Elementary School,063441005670,https://www.greatschools.org/california/san-francisco/6434-Spring-Valley-Elementary-School/?s_cid=gsapi,(415) 749-3535,https://www.greatschools.org/school/rating.page?state=CA&id=6434&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6434&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6434,CA,public,http://springvalley-sfusd-ca.Schoolloop.com/
"817 Murchison Drive, 
Millbrae, CA  94030",Millbrae,Millbrae Elementary School District,792,0624900,431,(650) 697-2931,K-5,6907,9,37.590797,-122.39085,Spring Valley Elementary School,062490003721,https://www.greatschools.org/california/millbrae/6907-Spring-Valley-Elementary-School/?s_cid=gsapi,(650) 697-5681,https://www.greatschools.org/school/rating.page?state=CA&id=6907&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6907&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6907,CA,public,http://www.springvalleypta.org/
"46655 Road 200, 
O'Neals, CA  93645",O'Neals,Chawanakee Unified School District,1066,0600116,163,(559) 868-3407,K-8,12520,3,37.120712,-119.6999,Spring Valley Elementary School,060011609482,https://www.greatschools.org/california/o'neals/12520-Spring-Valley-Elementary-School/?s_cid=gsapi,(559) 868-3343,https://www.greatschools.org/school/rating.page?state=CA&id=12520&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12520&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12520,CA,public,www.chawanakee.k12.ca.us
"240 Pine Street, 
Valley Springs, CA  95252",Valley Springs,Calaveras Unified,64,0606870,495,(209) 772-1013,K-6,647,5,38.19042,-120.83181,Valley Springs Elementary School,060687000631,https://www.greatschools.org/california/valley-springs/647-Valley-Springs-Elementary-School/?s_cid=gsapi,(209) 754-2141,https://www.greatschools.org/school/rating.page?state=CA&id=647&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=647&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/647,CA,public,http://www.calaveras.k12.ca.us/Schools/calaveras_unified_school_distric.htm
"3230 Sweetwater Springs Boulevard, 
Spring Valley, CA  91977",Spring Valley,Grossmont Union High School District,688,0616230,1657,(619) 670-9749,9-12,5928,5,32.73774,-116.9737,Monte Vista High School,061623002024,https://www.greatschools.org/california/spring-valley/5928-Monte-Vista-High-School/?s_cid=gsapi,(619) 660-3000,https://www.greatschools.org/school/rating.page?state=CA&id=5928&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5928&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5928,CA,public,http://monarchs.guhsd.net/
"8585 Blossom Lane, 
Spring Valley, CA  91977",Spring Valley,Grossmont Union High School District,688,0616230,1483,(619) 697-0794,9-12,5929,3,32.722828,-117.01692,Mount Miguel High School,061623002025,https://www.greatschools.org/california/spring-valley/5929-Mount-Miguel-High-School/?s_cid=gsapi,(619) 664-8400,https://www.greatschools.org/school/rating.page?state=CA&id=5929&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5929&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5929,CA,public,www.mountmiguelhs.org/
"9806 San Juan Street, 
Spring Valley, CA  91977",Spring Valley,,,,214,(619) 668-5469,K-8,8407,,32.7487,-116.98705,Santa Sophia Academy,00077437,https://www.greatschools.org/california/spring-valley/8407-Santa-Sophia-Academy/?s_cid=gsapi,(619) 463-0488,https://www.greatschools.org/school/rating.page?state=CA&id=8407&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=8407&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/8407,CA,private,http://santasophiaacademy.org
